"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/04/2022","AQS","420030002","2","8","ug/m3 LC","44","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/05/2022","AQS","420030002","2","16.1","ug/m3 LC","64","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/06/2022","AQS","420030002","2","16.1","ug/m3 LC","64","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/07/2022","AQS","420030002","2","7.3","ug/m3 LC","41","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/08/2022","AQS","420030002","2","5.9","ug/m3 LC","33","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/09/2022","AQS","420030002","2","11.3","ug/m3 LC","55","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/10/2022","AQS","420030002","2","14.8","ug/m3 LC","62","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/11/2022","AQS","420030002","2","12.7","ug/m3 LC","58","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/12/2022","AQS","420030002","2","6.5","ug/m3 LC","36","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/13/2022","AQS","420030002","2","6.2","ug/m3 LC","34","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/14/2022","AQS","420030002","2","7.1","ug/m3 LC","39","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/15/2022","AQS","420030002","2","11.5","ug/m3 LC","55","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/16/2022","AQS","420030002","2","13.3","ug/m3 LC","59","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/17/2022","AQS","420030002","2","17","ug/m3 LC","66","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/18/2022","AQS","420030002","2","13.7","ug/m3 LC","60","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/19/2022","AQS","420030002","2","7.1","ug/m3 LC","39","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/20/2022","AQS","420030002","2","3.3","ug/m3 LC","18","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/21/2022","AQS","420030002","2","9.4","ug/m3 LC","52","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/22/2022","AQS","420030002","2","9.3","ug/m3 LC","51","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/23/2022","AQS","420030002","2","7","ug/m3 LC","39","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/24/2022","AQS","420030002","2","4.5","ug/m3 LC","25","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/25/2022","AQS","420030002","2","4.9","ug/m3 LC","27","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/26/2022","AQS","420030002","2","3.5","ug/m3 LC","19","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/27/2022","AQS","420030002","2","2.8","ug/m3 LC","16","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/28/2022","AQS","420030002","2","2.9","ug/m3 LC","16","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/29/2022","AQS","420030002","2","8.1","ug/m3 LC","45","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"03/30/2022","AQS","420030002","2","9.7","ug/m3 LC","52","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"04/01/2022","AQS","420030002","2","3.4","ug/m3 LC","19","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"04/02/2022","AQS","420030002","2","6.3","ug/m3 LC","35","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"04/03/2022","AQS","420030002","2","8.2","ug/m3 LC","46","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"04/04/2022","AQS","420030002","2","10.2","ug/m3 LC","53","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"04/05/2022","AQS","420030002","2","11.8","ug/m3 LC","56","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"04/06/2022","AQS","420030002","2","7.1","ug/m3 LC","39","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"04/07/2022","AQS","420030002","2","5.7","ug/m3 LC","32","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"04/08/2022","AQS","420030002","2","7.3","ug/m3 LC","41","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"04/09/2022","AQS","420030002","2","3.7","ug/m3 LC","21","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
